blockNumber,timestamp,transactionHash,from,to,value,address,tokenName,decimals,,tokenPrice
19147938,1706964587,0xf4a684d82ce14f424290a0bf7717ea26392a0afbab97ae7ea30b98e3fe7b09d3,0x5338035c008ea8c4b850052bc8dad6a33dc2206c,0x3a23f943181408eac424116af7b7790c94cb97a5,4759087124,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1.001
19147978,1706965079,0x9bfca59591e8818a36535aa40431fad7c3db1b89bab06c97273182dd1573d615,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,43329399174107690897,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.789116
19148007,1706965427,0x3719621670c9e16d37c7282d4910892314b5e613767c3097726f7f3b8ef4c167,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3a23f943181408eac424116af7b7790c94cb97a5,274186015,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999483
19148025,1706965643,0x98e209a2f86397c2136688e1e7ee18acf5c943d451e9e82edba7c3a83fcdb96b,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,46209891406677295965,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.7888606083042993
19148232,1706968199,0xa481b4ffd31e335917477054c934d53b66fcec3f357600bb2eff180c99165dd8,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,10100000000000000000000,0x8f693ca8D21b157107184d29D398A8D082b38b76,Streamr,18,,0.04707058
19148248,1706968403,0x104c362cfd04773d82713a81b600f0675e1c4fcc88756249d6fb5237c6b7d943,0x9d72ba28d9fe4b0dff96699311e796eddc74783b,0x3a23f943181408eac424116af7b7790c94cb97a5,13401732835,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19148290,1706968907,0x69d7c22779418d1d7adaf3419aeec2d0902a43b18cf96a429f08d58642cf9753,0xacb62d64dd9c386c4b3316f421f6c545390dcc94,0x3a23f943181408eac424116af7b7790c94cb97a5,351856800000000000000,0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4,Morpheus.Network,18,,1.11
19148290,1706968907,0x69d7c22779418d1d7adaf3419aeec2d0902a43b18cf96a429f08d58642cf9753,0x92cc4300b9fd36242900bca782b2e9e000bd5099,0x3a23f943181408eac424116af7b7790c94cb97a5,99380200715187205372,0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,Route,18,,3.85
19148291,1706968919,0x44669f0006d161897a60fe6694b1db6dd47cfa32c144d8a1fd31f9071f1e3c20,0x673e4c5c952e510c6f8b4029d809e88ca10b29b3,0x3a23f943181408eac424116af7b7790c94cb97a5,973295120,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.9996186606044305
19148330,1706969387,0x78141f7f5bbc8bb68e53bf97b12edc7f399f0a8ac63ce16f8e0480a1f05e086f,0xd48f4afc03ba555e4c00e8af4bef660b022d6111,0x3a23f943181408eac424116af7b7790c94cb97a5,10000000000,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.9992515900386357
